species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ
Mm	OLFR77	Enterocytes	NA	0.021	olfactory receptor 77	protein coding gene	NA	Endoderm	GI tract
Mm Hs	VDR	Enterocytes	NR1I1|PPP1R163	0.011	vitamin D receptor	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	EHF	Enterocytes	ESE3|ESEJ	0.02	ETS homologous factor	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	CDC42EP5	Enterocytes	CEP5|Borg3	0.031	CDC42 effector protein 5	protein-coding gene	NA	Endoderm	GI tract
Mm	DEFA24	Enterocytes	NA	0.014	defensin, alpha, 24	protein coding gene	NA	Endoderm	GI tract
Mm Hs	CASP6	Enterocytes	NA	0.033	caspase 6	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	HNF4A	Enterocytes	NR2A1|HNF4|TCF14|MODY|MODY1	0.016	hepatocyte nuclear factor 4 alpha	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	AQP1	Enterocytes	CHIP28|CO	0.032	aquaporin 1 (Colton blood group)	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	TMEM45B	Enterocytes	BC016153|FLJ40787	0.019	transmembrane protein 45B	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	RGMB	Enterocytes	FLJ90406|DRAGON	0.009	repulsive guidance molecule BMP co-receptor b	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	PDHA1	Enterocytes	PDHA	0.047	pyruvate dehydrogenase E1 alpha 1 subunit	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	CDO1	Enterocytes	NA	0.037	cysteine dioxygenase type 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	ELF3	Enterocytes	ESE-1|ERT|ESX	0.038	E74 like ETS transcription factor 3	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	KRTCAP3	Enterocytes	KCP3	0.026	keratinocyte associated protein 3	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	DEGS2	Enterocytes	DES2|FADS8|C14orf66	0.018	delta 4-desaturase, sphingolipid 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	TMC4	Enterocytes	NA	0.022	transmembrane channel like 4	protein-coding gene	NA	Endoderm	GI tract
Mm	PRSS32	Enterocytes	NA	0.013	protease, serine 32	protein coding gene	NA	Endoderm	GI tract
Mm Hs	PPP1R14D	Enterocytes	FLJ20251|GBPI-1|MGC119014|MGC119016	0.016	protein phosphatase 1 regulatory inhibitor subunit 14D	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	TM4SF5	Enterocytes	NA	0.02	transmembrane 4 L six family member 5	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	RNF186	Enterocytes	FLJ20225	0.014	ring finger protein 186	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	CEACAM1	Enterocytes	BGP1|CD66a|BGP	0.021	carcinoembryonic antigen related cell adhesion molecule 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	KLF5	Enterocytes	IKLF|CKLF|BTEB2	0.051	Kruppel like factor 5	protein-coding gene	1	Endoderm	GI tract
Mm Hs	CDX1	Enterocytes	NA	0.014	caudal type homeobox 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	CDX2	Enterocytes	CDX3	0.015	caudal type homeobox 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	CLDN15	Enterocytes	NA	0.022	claudin 15	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	ASCL2	Enterocytes	HASH2|bHLHa45	0.006	achaete-scute family bHLH transcription factor 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	SMOC2	Enterocytes	SMAP2	0.026	SPARC related modular calcium binding 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	PRR15L	Enterocytes	MGC11242|ATAD4	0.019	proline rich 15 like	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	FBP2	Enterocytes	NA	0.019	fructose-bisphosphatase 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	SDSL	Enterocytes	SDS-RS1|cSDH	0.016	serine dehydratase like	protein-coding gene	NA	Endoderm	GI tract
Mm	GKN3	Enterocytes	NA	0.005	gastrokine 3	protein coding gene	NA	Endoderm	GI tract
Mm Hs	FERMT1	Enterocytes	FLJ20116|URP1|KIND1|UNC112A|C20orf42	0.017	fermitin family member 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	ALDOB	Enterocytes	NA	0.029	aldolase, fructose-bisphosphate B	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	MUC13	Enterocytes	DRCC1	0.026	mucin 13, cell surface associated	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	PHGR1	Enterocytes	NA	0.021	proline, histidine and glycine rich 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	PRAP1	Enterocytes	NA	0.016	proline rich acidic protein 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	CCL25	Enterocytes	TECK|Ckb15|SCYA25	0.018	C-C motif chemokine ligand 25	protein-coding gene	NA	Endoderm	GI tract
None	AMICA1	Enterocytes	NA	0.016	NA	NA	NA	Endoderm	GI tract
Mm Hs	LGALS2	Enterocytes	HL14	0.028	galectin 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	SPON2	Enterocytes	DIL1	0.019	spondin 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	ASPN	Enterocytes	FLJ20129|SLRR1C|PLAP-1	0.018	asporin	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	CTRB1	Enterocytes	CTRB	0.013	chymotrypsinogen B1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	CD55	Enterocytes	TC|CROM|DAF	0.031	CD55 molecule (Cromer blood group)	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	CDH19	Enterocytes	CDH7	0.003	cadherin 19	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	SLC35F1	Enterocytes	dJ230I3.1|C6orf169	0.016	solute carrier family 35 member F1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	G0S2	Enterocytes	NA	0.036	G0/G1 switch 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	GULP1	Enterocytes	CED6|CED-6|GULP	0.01	GULP, engulfment adaptor PTB domain containing 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	NKD2	Enterocytes	Naked2	0.005	naked cuticle homolog 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	COL18A1	Enterocytes	KNO1|KNO	0.029	collagen type XVIII alpha 1 chain	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	SOX10	Enterocytes	DOM|WS4|WS2E	0.041	SRY-box 10	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	COL20A1	Enterocytes	KIAA1510	0.004	collagen type XX alpha 1 chain	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	PMEPA1	Enterocytes	STAG1|TMEPAI	0.046	prostate transmembrane protein, androgen induced 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	GFRA2	Enterocytes	RETL2|GDNFRB|NTNRA|TRNR2	0.01	GDNF family receptor alpha 2	protein-coding gene	1	Endoderm	GI tract
Mm Hs	ART3	Enterocytes	NA	0.024	ADP-ribosyltransferase 3	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	SLC26A2	Enterocytes	DTDST	0.01	solute carrier family 26 member 2	protein-coding gene	NA	Endoderm	GI tract
Mm	CAR1	Enterocytes	NA	0.006	carbonic anhydrase 1	protein coding gene	NA	Endoderm	GI tract
Mm	TRY4	Enterocytes	NA	0.001	trypsin 4	protein coding gene	NA	Endoderm	GI tract
Mm	TRY5	Enterocytes	NA	0.001	trypsin 5	protein coding gene	NA	Endoderm	GI tract
Mm Hs	PRSS2	Enterocytes	TRY2	0.004	serine protease 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	CELA3B	Enterocytes	CBPP|ELA3B	0.004	chymotrypsin like elastase family member 3B	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	L1CAM	Enterocytes	CD171|HSAS1|SPG1|HSAS|MIC5	0.021	L1 cell adhesion molecule	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	SLC11A2	Enterocytes	DCT1|NRAMP2	0.007	solute carrier family 11 member 2	protein-coding gene	1	Endoderm	GI tract
Mm Hs	NPSR1	Enteroendocrine cells	PGR14|GPRA|GPR154	0.0	neuropeptide S receptor 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	FFAR3	Enteroendocrine cells	FFA3R|GPR41	0.0	free fatty acid receptor 3	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	SCN3A	Enteroendocrine cells	Nav1.3	0.021	sodium voltage-gated channel alpha subunit 3	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	NEUROG3	Enteroendocrine cells	Atoh5|Math4B|ngn3|bHLHa7	0.001	neurogenin 3	protein-coding gene	1	Endoderm	GI tract
Mm Hs	FFAR1	Enteroendocrine cells	FFA1R|GPR40	0.002	free fatty acid receptor 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	ARX	Enteroendocrine cells	ISSX|CT121|EIEE1|MRXS1|PRTS|MRX76|MRX54|MRX43|MRX36|MRX29|MRX32|MRX33|MRX38|MRX87	0.022	aristaless related homeobox	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	NKX2-2	Enteroendocrine cells	NKX2.2|NKX2B	0.003	NK2 homeobox 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	SCT	Enteroendocrine cells	NA	0.01	secretin	protein-coding gene	1	Endoderm	GI tract
Mm Hs	CCK	Enteroendocrine cells	NA	0.037	cholecystokinin	protein-coding gene	1	Endoderm	GI tract
Mm Hs	GFRA3	Enteroendocrine cells	GFRa-3	0.005	GDNF family receptor alpha 3	protein-coding gene	1	Endoderm	GI tract
Mm Hs	VWA5B2	Enteroendocrine cells	DKFZp761K032|LOC90113	0.001	von Willebrand factor A domain containing 5B2	protein-coding gene	1	Endoderm	GI tract
Mm Hs	NEUROD1	Enteroendocrine cells	BETA2|BHF-1|NeuroD|bHLHa3|MODY6|NEUROD	0.043	neuronal differentiation 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	FEV	Enteroendocrine cells	Pet-1	0.004	FEV, ETS transcription factor	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	SCGN	Enteroendocrine cells	SECRET|DJ501N12.8|SEGN|CALBL	0.016	secretagogin, EF-hand calcium binding protein	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	RESP18	Enteroendocrine cells	NA	0.05	regulated endocrine specific protein 18	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	BEX2	Enteroendocrine cells	DJ79P11.1	0.356	brain expressed X-linked 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	RPH3AL	Enteroendocrine cells	Noc2	0.006	rabphilin 3A like (without C2 domains)	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	PCSK1	Enteroendocrine cells	PC1|NEC1	0.009	proprotein convertase subtilisin/kexin type 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	ISL1	Enteroendocrine cells	Isl-1|ISLET1	0.033	ISL LIM homeobox 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	FABP5	Enteroendocrine cells	E-FABP|PA-FABP|KFABP	0.392	fatty acid binding protein 5	protein-coding gene	NA	Endoderm	GI tract
Mm	FAM183B	Enteroendocrine cells	NA	0.022	family with sequence similarity 183, member B	protein coding gene	NA	Endoderm	GI tract
Mm Hs	TAC1	Enteroendocrine cells	NPK|TAC2|NKNA	0.012	tachykinin precursor 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	RIMBP2	Enteroendocrine cells	KIAA0318|RBP2|MGC15831|RIM-BP2|PPP1R133	0.006	RIMS binding protein 2	protein-coding gene	1	Endoderm	GI tract
Mm Hs	INSM1	Enteroendocrine cells	IA-1|IA1	0.018	INSM transcriptional repressor 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	GNG4	Enteroendocrine cells	NA	0.015	G protein subunit gamma 4	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	PAX6	Enteroendocrine cells	D11S812E|AN2	0.056	paired box 6	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	CNOT6L	Enteroendocrine cells	DKFZp434K098|Ccr4b	0.037	CCR4-NOT transcription complex subunit 6 like	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	TOX3	Enteroendocrine cells	CAGF9|TNRC9	0.019	TOX high mobility group box family member 3	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	SLC39A2	Enteroendocrine cells	ZIP2	0.001	solute carrier family 39 member 2	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	RIIAD1	Enteroendocrine cells	FLJ36032|NCRNA00166|C1orf230	0.023	regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1	protein-coding gene	NA	Endoderm	GI tract
Mm Hs	GIP	Enteroendocrine cells	NA	0.006	gastric inhibitory polypeptide	protein-coding gene	1	Endoderm	GI tract
Mm Hs	GLP1R	Enteroendocrine cells	GLP-1R	0.0	glucagon like peptide 1 receptor	protein-coding gene	1	Endoderm	GI tract
Mm Hs	PYY	Enteroendocrine cells	PYY1	0.006	peptide YY	protein-coding gene	1	Endoderm	GI tract
Mm Hs	GLP2R	Enteroendocrine cells	NA	0.0	glucagon like peptide 2 receptor	protein-coding gene	1	Endoderm	GI tract
Mm Hs	GAST	Enteroendocrine cells	NA	0.001	gastrin	protein-coding gene	1	Endoderm	GI tract
Mm Hs	NTS	Enteroendocrine cells	NA	0.006	neurotensin	protein-coding gene	1	Endoderm	GI tract
Mm Hs	SST	Enteroendocrine cells	SMST	0.018	somatostatin	protein-coding gene	1	Endoderm	GI tract
Hs	MLN	Enteroendocrine cells	NA	0.0	motilin	protein-coding gene	1	Endoderm	GI tract
Mm Hs	C3AR1	Eosinophils	C3AR|AZ3B	0.018	complement C3a receptor 1	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	FUT4	Eosinophils	FUC-TIV|CD15|ELFT	0.0	fucosyltransferase 4	protein-coding gene	1	Mesoderm	Immune system
Hs	FCER2	Eosinophils	CLEC4J|CD23|CD23A|FCE2	0.001	Fc fragment of IgE receptor II	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	C5AR1	Eosinophils	C5A|C5AR|CD88|C5R1	0.02	complement C5a receptor 1	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	CXCR3	Eosinophils	CKR-L2|CMKAR3|IP10-R|MigR|CD183|GPR9	0.004	C-X-C motif chemokine receptor 3	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	CCR1	Eosinophils	MIP1aR|CD191|SCYAR1|CMKBR1	0.008	C-C motif chemokine receptor 1	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	CCR3	Eosinophils	CC-CKR-3|CKR3|CD193|CMKBR3	0.001	C-C motif chemokine receptor 3	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	CD244	Eosinophils	2B4|NAIL|NKR2B4|Nmrk|SLAMF4	0.001	CD244 molecule	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	PTGDR2	Eosinophils	CRTH2|CD294|GPR44	0.0	prostaglandin D2 receptor 2	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	S100A9	Eosinophils	MIF|NIF|LIAG|MRP14|MAC387|CGLB|CAGB	0.047	S100 calcium binding protein A9	protein-coding gene	1	Mesoderm	Immune system
Hs	SIGLEC8	Eosinophils	SIGLEC-8|SAF2|SIGLEC8L|MGC59785	0.0	sialic acid binding Ig like lectin 8	protein-coding gene	1	Mesoderm	Immune system
Hs	SIGLEC10	Eosinophils	SIGLEC-10|SLG2|PRO940|MGC126774	0.001	sialic acid binding Ig like lectin 10	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	PGLYRP1	Eosinophils	TAG7|PGRP|PGRP-S|PGRPS|TNFSF3L|PGLYRP	0.061	peptidoglycan recognition protein 1	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	LTC4S	Eosinophils	MGC33147	0.033	leukotriene C4 synthase	protein-coding gene	1	Mesoderm	Immune system
Mm	EAR1	Eosinophils	NA	0.003	eosinophil-associated, ribonuclease A family, member 1	protein coding gene	1	Mesoderm	Immune system
Mm	EAR2	Eosinophils	NA	0.008	eosinophil-associated, ribonuclease A family, member 2	protein coding gene	NA	Mesoderm	Immune system
Mm Hs	EPX	Eosinophils	EPP|EPX-PEN	0.0	eosinophil peroxidase	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	CD69	Eosinophils	CLEC2C	0.027	CD69 molecule	protein-coding gene	1	Mesoderm	Immune system
Hs	RNASE3	Eosinophils	ECP|RAF1|RNS3	0.0	ribonuclease A family member 3	protein-coding gene	1	Mesoderm	Immune system
Hs	RNASE2	Eosinophils	EDN|RAF3|RNS2	0.001	ribonuclease A family member 2	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	IL5	Eosinophils	IL-5|EDF	0.002	interleukin 5	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	PRG2	Eosinophils	MBP|BMPG|proMBP	0.003	proteoglycan 2, pro eosinophil major basic protein	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	PRG3	Eosinophils	MBPH|MBP2	0.0	proteoglycan 3, pro eosinophil major basic protein 2	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	CPA3	Eosinophils	NA	0.007	carboxypeptidase A3	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	IKZF2	Eosinophils	Helios|ZNFN1A2	0.01	IKAROS family zinc finger 2	protein-coding gene	NA	Mesoderm	Immune system
Mm Hs	FOXJ1	Ependymal cells	HFH-4|HFH4|FKHL13	0.012	forkhead box J1	protein-coding gene	1	Ectoderm	Brain
Mm Hs	TRIM71	Ependymal cells	LIN41|LIN-41	0.007	tripartite motif containing 71	protein-coding gene	1	Ectoderm	Brain
Mm Hs	SIX3	Ependymal cells	HPE2	0.019	SIX homeobox 3	protein-coding gene	1	Ectoderm	Brain
Mm Hs	USP18	Ependymal cells	NA	0.001	ubiquitin specific peptidase 18	protein-coding gene	1	Ectoderm	Brain
Mm	CETN4	Ependymal cells	NA	0.012	centrin 4	protein coding gene	NA	Ectoderm	Brain
Mm Hs	AQP4	Ependymal cells	MIWC	0.027	aquaporin 4	protein-coding gene	1	Ectoderm	Brain
Mm Hs	CELSR2	Ependymal cells	KIAA0279|MEGF3|Flamingo1|CDHF10|ADGRC2|EGFL2	0.023	cadherin EGF LAG seven-pass G-type receptor 2	protein-coding gene	1	Ectoderm	Brain
Mm Hs	AQP1	Ependymal cells	CHIP28|CO	0.032	aquaporin 1 (Colton blood group)	protein-coding gene	1	Ectoderm	Brain
Mm Hs	GFAP	Ependymal cells	FLJ45472	0.014	glial fibrillary acidic protein	protein-coding gene	1	Ectoderm	Brain
Mm Hs	ENKUR	Ependymal cells	MGC26778|enkurin|CFAP106|C10orf63	0.017	enkurin, TRPC channel interacting protein	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	FAM216B	Ependymal cells	FLJ40919|C13orf30	0.005	family with sequence similarity 216 member B	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	KRT15	Ependymal cells	K15|CK15|K1CO	0.019	keratin 15	protein-coding gene	1	Ectoderm	Brain
Mm Hs	CATIP	Ependymal cells	MGC50811|C2orf62	0.004	ciliogenesis associated TTC17 interacting protein	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DNAH12	Ependymal cells	DLP12|Dnahc3|HL-19|hdhc3|DHC3|FLJ40427|FLJ44290|DNHD2|DNAH12L|DNAH7L	0.009	dynein axonemal heavy chain 12	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	FAM166B	Ependymal cells	NA	0.004	family with sequence similarity 166 member B	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	IQCG	Ependymal cells	DKFZp434B227|DRC9|CFAP122	0.013	IQ motif containing G	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SPEF2	Ependymal cells	KPL2|FLJ23577|CT122	0.01	sperm flagellar 2	protein-coding gene	NA	Ectoderm	Brain
Mm	RABL2	Ependymal cells	NA	0.01	RAB, member RAS oncogene family-like 2	protein coding gene	NA	Ectoderm	Brain
Mm Hs	MYO16	Ependymal cells	MYR8|KIAA0865|Myo16b|NYAP3|PPP1R107	0.002	myosin XVI	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ODF3B	Ependymal cells	NA	0.011	outer dense fiber of sperm tails 3B	protein-coding gene	1	Ectoderm	Brain
Mm Hs	PLXNB2	Ependymal cells	MM1|KIAA0315|PLEXB2	0.044	plexin B2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TEKT1	Ependymal cells	NA	0.018	tektin 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CHEK2	Ependymal cells	CDS1|CHK2|HuCds1|PP1425|bA444G7|RAD53	0.006	checkpoint kinase 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CROCC	Ependymal cells	rootletin|ROLT	0.004	ciliary rootlet coiled-coil, rootletin	protein-coding gene	1	Ectoderm	Brain
Mm Hs	NME9	Ependymal cells	TXL-2|NM23-H9|TXNDC6	0.003	NME/NM23 family member 9	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CFAP126	Ependymal cells	Flattop|Fltp|C1orf192	0.015	cilia and flagella associated protein 126	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	MEIG1	Ependymal cells	bA2K17.3|SPATA39	0.022	meiosis/spermiogenesis associated 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	HSPA2	Ependymal cells	NA	0.033	heat shock protein family A (Hsp70) member 2	protein-coding gene	1	Ectoderm	Brain
Mm Hs	CFAP65	Ependymal cells	DKFZp434O0527|MGC35338|CCDC108	0.007	cilia and flagella associated protein 65	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	LRRC23	Ependymal cells	B7|LRPB7	0.01	leucine rich repeat containing 23	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TEKT4	Ependymal cells	MGC27019	0.01	tektin 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CALML4	Ependymal cells	MGC4809|NY-BR-20	0.038	calmodulin like 4	protein-coding gene	1	Ectoderm	Brain
Mm Hs	PIFO	Ependymal cells	FLJ23853|pitchfork|C1orf88	0.017	primary cilia formation	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CRYGN	Ependymal cells	NA	0.004	crystallin gamma N	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	HDC	Ependymal cells	NA	0.018	histidine decarboxylase	protein-coding gene	1	Ectoderm	Brain
Mm	FAM183B	Ependymal cells	NA	0.022	family with sequence similarity 183, member B	protein coding gene	NA	Ectoderm	Brain
Mm Hs	PCP4L1	Ependymal cells	IQM1	0.048	Purkinje cell protein 4 like 1	protein-coding gene	1	Ectoderm	Brain
Mm Hs	DYNLRB2	Ependymal cells	DNLC2B|ROBLD2|DNCL2B	0.022	dynein light chain roadblock-type 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TMEM107	Ependymal cells	MGC10744	0.035	transmembrane protein 107	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	RIIAD1	Ependymal cells	FLJ36032|NCRNA00166|C1orf230	0.023	regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1	protein-coding gene	1	Ectoderm	Brain
Mm Hs	TMEM212	Ependymal cells	FLJ23172	0.007	transmembrane protein 212	protein-coding gene	1	Ectoderm	Brain
Mm Hs	RSPH1	Ependymal cells	FLJ32753|RSP44|RSPH10A|CILD24|TSGA2	0.025	radial spoke head component 1	protein-coding gene	0	Ectoderm	Brain
Mm Hs	CCDC153	Ependymal cells	LOC283152	0.007	coiled-coil domain containing 153	protein-coding gene	1	Ectoderm	Brain
Mm Hs	S100B	Ependymal cells	S100beta	0.069	S100 calcium binding protein B	protein-coding gene	1	Ectoderm	Brain
Mm Hs	AK7	Ependymal cells	FLJ32864	0.007	adenylate kinase 7	protein-coding gene	1	Ectoderm	Brain
Mm Hs	RARRES2	Ependymal cells	TIG2|HP10433	0.026	retinoic acid receptor responder 2	protein-coding gene	1	Ectoderm	Brain
Mm Hs	PVALB	Ependymal cells	D22S749	0.005	parvalbumin	protein-coding gene	1	Ectoderm	Brain
Mm Hs	ANGPTL2	Ependymal cells	NA	0.013	angiopoietin like 2	protein-coding gene	1	Ectoderm	Brain
Mm Hs	CFAP54	Ependymal cells	FLJ31514|FLJ44112|C12orf63|C12orf55	0.005	cilia and flagella associated protein 54	protein-coding gene	0	Ectoderm	Brain
Mm Hs	STOML3	Ependymal cells	SRO|Epb7.2l	0.005	stomatin like 3	protein-coding gene	1	Ectoderm	Brain
Mm Hs	PLTP	Ependymal cells	BPIFE	0.008	phospholipid transfer protein	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NANOG	Epiblast cells	FLJ12581|FLJ40451	0.002	Nanog homeobox	protein-coding gene	NA	Zygote	Embryo
Mm Hs	POU5F1	Epiblast cells	Oct4|MGC22487|OTF3	0.002	POU class 5 homeobox 1	protein-coding gene	NA	Zygote	Embryo
Hs	CD24	Epithelial cells	CD24A	0.032	CD24 molecule	protein-coding gene	1	Mesoderm	Epithelium
Mm Hs	CEACAM1	Epithelial cells	BGP1|CD66a|BGP	0.021	carcinoembryonic antigen related cell adhesion molecule 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ST6GAL1	Epithelial cells	SIAT1	0.004	ST6 beta-galactoside alpha-2,6-sialyltransferase 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ITGB4	Epithelial cells	CD104	0.013	integrin subunit beta 4	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	IL1R1	Epithelial cells	D2S1473|CD121A|IL1R	0.007	interleukin 1 receptor type 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	PROM1	Epithelial cells	AC133|CD133|RP41|CORD12|PROML1|STGD4	0.023	prominin 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	CDH1	Epithelial cells	uvomorulin|CD324|UVO	0.048	cadherin 1	protein-coding gene	1	Mesoderm	Epithelium
Mm Hs	KRT1	Epithelial cells	KRT1A	0.007	keratin 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	KRT7	Epithelial cells	CK7|K2C7	0.049	keratin 7	protein-coding gene	1	Mesoderm	Epithelium
Mm Hs	MUC1	Epithelial cells	CD227|PEM|ADMCKD|ADMCKD1|MCKD|MCKD1	0.009	mucin 1, cell surface associated	protein-coding gene	1	Mesoderm	Epithelium
Mm Hs	ICAM1	Epithelial cells	CD54	0.008	intercellular adhesion molecule 1	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	KRT14	Epithelial cells	EBS3|EBS4	0.018	keratin 14	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	KRT5	Epithelial cells	KRT5A|EBS2	0.017	keratin 5	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ITGAL	Epithelial cells	CD11A	0.01	integrin subunit alpha L	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	CD2	Epithelial cells	NA	0.029	CD2 molecule	protein-coding gene	NA	Mesoderm	Epithelium
Hs	KLK3	Epithelial cells	NA	0.0	kallikrein related peptidase 3	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ITGA5	Epithelial cells	CD49e|FNRA	0.016	integrin subunit alpha 5	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ITGA4	Epithelial cells	CD49d|CD49D	0.035	integrin subunit alpha 4	protein-coding gene	NA	Mesoderm	Epithelium
Mm Hs	ITGA2	Epithelial cells	CD49b|CD49B	0.005	integrin subunit alpha 2	protein-coding gene	NA	Mesoderm	Epithelium
